Price,Close,High,Low,Open,Volume,20EMA,50EMA,100EMA,200EMA
Ticker,APLE,APLE,APLE,APLE,APLE,,,,
Date,,,,,,,,,
2015-09-24,11.253057479858398,11.458758618662884,11.107856879634962,11.386157741575268,811800,11.270413946617296,11.082035889009532,10.987650266819594,10.886079249003195
2015-09-25,11.422454833984375,11.422454833984375,11.107854186745154,11.349855128448983,1017400,11.284894031128447,11.095385651557566,10.996260258248599,10.89141631950052
2015-09-28,11.306894302368164,11.410292520672245,11.188290702568594,11.282564763898383,1616900,11.286989295056038,11.1036801084521,11.002411427439085,10.895550428782785
2015-09-29,11.118351936340332,11.404217230619622,11.094022382735133,11.276490554483226,1395000,11.270928594225971,11.104255474251637,11.004707279100495,10.897767359206243
2015-09-30,11.29472827911377,11.37987933411145,11.04535633796675,11.20957722411609,1460400,11.273195230881953,11.111724996010937,11.010450269199767,10.901717219105821
2015-10-01,11.367718696594238,11.373801082125642,11.130510301255198,11.276485233816032,884000,11.282197465711695,11.121763964661262,11.01752489152441,10.906354049727597
2015-10-02,11.331230163574219,11.343394940842394,11.075775641427606,11.276490986061456,454800,11.286867246460506,11.129978325402947,11.023736877109554,10.910581672750947
2015-10-05,11.495448112487793,11.513695273526587,11.34339191745463,11.373803852519284,1415300,11.306732090844058,11.144310473916077,11.033077693651697,10.916401239315492
2015-10-06,11.452871322631836,11.483282094304931,11.337308302100238,11.434624163570033,592600,11.320650112919084,11.15641089935591,11.041390438780017,10.92173925009476
2015-10-07,11.550183296203613,11.550183296203613,11.379880015908835,11.446785083184674,1005800,11.34251041608904,11.171852954134252,11.051465544867611,10.927992424682909
2015-10-08,11.51369571685791,11.550188880243951,11.452873004483346,11.507613329610779,706000,11.358813778067027,11.185258552672435,11.06061861758029,10.933820318137387
2015-10-09,11.507611274719238,11.550186817749779,11.379883485531076,11.51369366088025,690600,11.37298496822438,11.197899835889956,11.069469957325616,10.939529680889446
2015-10-12,11.495448112487793,11.544106048494537,11.416379401513097,11.477202111545703,533600,11.384648124820895,11.209568395756538,11.077905168318926,10.945061207572017
2015-10-13,11.458952903747559,11.501528445136673,11.398130204578898,11.440705745968012,730400,11.39172477043296,11.219348180383637,11.085450668030385,10.95017455778272
2015-10-14,11.452871322631836,11.531940025039829,11.422460550958743,11.446788936277901,806600,11.397548251594758,11.22850595066788,11.092726324557145,10.955176515641915
2015-10-15,11.525858879089355,11.525858879089355,11.337308381093392,11.416378244148882,701300,11.409768311356148,11.240166849821666,11.101303206825108,10.960854947119003
2015-10-16,11.54410171508789,11.556266484547361,11.446785879604668,11.519773336265219,945500,11.422561968854408,11.252085864145833,11.11007149411744,10.966658397546555
2015-10-19,11.78739070892334,11.793473093346115,11.440702917498566,11.46503245518967,1261900,11.457307563146687,11.273078210999854,11.123483755796764,10.97482488820702
2015-10-20,11.848217010498047,11.85429939677787,11.586680200948505,11.63533813109052,984700,11.494537034323006,11.295632673725274,11.137834909355204,10.983515357085539
